Designator,Mid X,Mid Y,Layer,Rotation
TP36,118.1,-115.55,top,180
TP37,104.5,-141.55,top,0
TP38,101.5,-141.55,top,0
TP39,98.5,-141.55,top,0
TP40,93.25,-141.55,top,0
TP41,95.775,-141.55,top,0
TP42,84.5,-147.55,top,0
TP43,92.5,-149.55,top,0
TP44,134.5,-117.05,top,0
TP46,142.9,-120.8,top,0
TP48,139.87,-85.05,top,0
TP49,159.1,-85.35,top,0
TP50,147.5,-96.55,top,0
TP51,137.5,-106.55,top,0
TP52,159.5,-78.05,top,0
TP53,163.5,-108.55,top,0
TP54,143,-107.55,top,0
TP55,145.5,-116.95,top,0
TP57,155.5,-106.55,top,0
TP58,149,-111.55,top,0
TP59,172.5825,-144.8103,top,0
TP60,194.25,-124.05,top,0
TP61,170.1,-143.65,top,0
TP62,173.25,-124.55,top,0
TP63,146.6,-129.55,top,0
TP64,193.75,-148.84,top,0
TP65,177.7,-149.65,top,0
TP66,148.75,-149.75,top,0
TP67,162.7,-149.85,top,0
TP68,153.2,-137.35,top,0
TP69,149.1,-143.65,top,0
TP70,156.4,-139.15,top,0
TP71,150.7,-136.05,top,0
TP72,148.5,-132.05,top,0
TsC1,132,-131.3,top,0
TsC2,136.08,-129.05,top,0
TsC3,122.17,-120.3,top,90
TsR1,141,-134.23,top,90
TsRST1,137.5,-134.55,top,0
U1,128.8,-122.8,top,0
U2,167,-132.55,top,0
U4,175.005,-142.0603,top,0
U5,192.0224,-120.2835,top,0
U6,152.5825,-126.35,top,270
U7,151.59,-104.89,top,180
U9,186.0224,-120.7835,top,0
USBC1,180.5224,-123.2835,top,270
USBC2,180.5224,-118.7835,top,270
USBR1,181,-134.05,top,270
USBR2,180.5,-127.05,top,270
USBR3,175.07,-129.2781,top,270
X1,154.9,-130.75,top,270
XC1,92.12,-145.45,top,0
XC2,94.975,-143.55,top,180
XC3,96.27,-145.3,top,180
XC4,98.52,-144.05,top,180
XC5,109.02,-141.55,top,0
XCreg1,94.48,-154.05,top,0
XCshun1,97.225,-132.05,top,180
XRC1,93.25,-138.01,top,90
XRC2,95.75,-138.03,top,90
XRC3,98.5,-138.03,top,90
XRC4,101.5,-138.07,top,90
XRC5,104.5,-138.05,top,90
XRreg1,89,-150.62,top,90
Xout1,93.25,-151.55,top,0
Xshun1,103.49,-132.05,top,180
better1,114.5,-87.35,top,270
